Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF10aazn R  341.14700 55853.14700 83.968   -0.763 21.013   -268.6   188.7 
PTF10aazn R  342.10400 55854.10400 21.676    0.782 20.840    307.2   221.3 
PTF10aazn R  342.14700 55854.14700 83.925   -0.598 21.320   -258.2   142.2 
PTF10aazn R  355.41600 55867.41600 26.504   64.707 20.874      3.6   214.5 
PTF10aazn R  355.41800 55867.41800 82.283   -4.010 20.896    -56.9   210.1 
PTF10achk R -490.53200 55044.46800 82.693   -0.364 21.300   -189.3    63.5 
PTF10achk R -483.52600 55051.47400 22.740    2.024 20.871     50.6    94.3 
PTF10achk R -480.55600 55054.44400 82.724   -0.584 20.756   -194.8   104.8 
PTF10achk R -480.53700 55054.46300 81.393   -1.912 20.800    -57.2   100.7 
PTF10achk R -480.49900 55054.50100 82.338   -0.415 21.515   -136.5    52.1 
PTF10achk R -480.49500 55054.50500 21.333    0.468 21.055    184.9    79.6 
PTF10achk R -479.53700 55055.46300 81.407   -1.791 20.857    -57.9    95.5 
PTF10achk R -479.52600 55055.47400 80.614   -3.176 21.028    -27.9    81.6 
PTF10achk R -475.55400 55059.44600 80.732   -2.329 21.247    -31.1    66.7 
PTF10achk R -475.53400 55059.46600 82.528   -0.327 21.582   -162.6    49.0 
PTF10achk R -473.56300 55061.43700 79.990   -4.724 21.221    -15.7    68.3 
PTF10achk R -473.53600 55061.46400 22.312    0.595 21.773     75.0    41.1 
PTF10achk R -471.55700 55063.44300 81.298   -0.825 21.807    -52.4    39.8 
PTF10achk R -471.51200 55063.48800 81.887   -0.577 21.606    -90.1    47.9 
PTF10achk R -470.56600 55064.43400 21.507    0.491 21.176    157.4    71.2 
PTF10achk R -470.52100 55064.47900 82.223   -0.613 21.205   -122.8    69.3 
PTF10achk R -468.57400 55066.42600 21.606    0.521 21.212    143.7    68.9 
PTF10achk R -468.52900 55066.47100 79.896   -3.477 21.648    -14.4    46.1 
PTF10achk R -465.58300 55069.41700 79.349   -7.277 21.393     -8.7    58.3 
PTF10achk R -465.53800 55069.46200 80.156   -2.059 21.956    -18.3    34.7 
PTF10achk R -454.62400 55080.37600 25.522   30.826 20.697      3.9   110.7 
PTF10achk R -454.53600 55080.46400 81.921   -1.603 20.463    -93.0   137.3 
PTF10achk R -453.48200 55081.51800 80.773   -3.719 20.698    -32.3   110.6 
PTF10achk R -450.54000 55084.46000 21.900    0.518 21.511    109.6    52.3 
PTF10achk R -450.52800 55084.47200 80.214   -4.445 21.063    -19.3    79.0 
PTF10achk R -450.48500 55084.51500 82.165   -0.948 20.790   -116.4   101.6 
PTF10achk R -445.64200 55089.35800 82.454   -0.549 21.094   -151.9    76.8 
PTF10achk R -445.59700 55089.40300 23.600    3.011 21.300     22.9    63.5 
PTF10achk R -441.65800 55093.34200 79.594   -4.693 21.625    -10.9    47.1 
PTF10achk R -441.61300 55093.38700 81.573   -0.592 21.893    -67.5    36.8 
PTF10achk R -439.66600 55095.33400 21.394    0.427 21.213    174.8    68.8 
PTF10achk R -439.62100 55095.37900 79.532   -5.936 21.431    -10.3    56.3 
PTF10achk R -427.69200 55107.30800 81.777   -1.440 20.725    -81.4   107.9 
PTF10achk R -427.64700 55107.35300 81.964   -1.385 20.580    -96.7   123.3 
PTF10achk R -427.57500 55107.42500 25.807   38.806 20.732      3.0   107.2 
PTF10achk R -427.52900 55107.47100 82.864   -0.621 20.549   -221.6   126.8 
PTF10achk R -425.48800 55109.51200 82.711   -1.424 19.802   -192.5   252.5 
PTF10achk R -420.60700 55114.39300 26.897   85.202 20.967      1.1    86.3 
PTF10achk R -420.56300 55114.43700 21.376    4.804 18.569    177.7   786.0 
PTF10achk R -415.58900 55119.41100 82.818   -0.299 21.391   -212.4    58.4 
PTF10achk R -415.52200 55119.47800 80.637   -3.064 21.044    -28.5    80.4 
PTF10achk R -411.71600 55123.28400 83.422   -0.197 21.239   -370.6    67.2 
PTF10achk R -411.66200 55123.33800 82.388   -0.467 21.337   -142.9    61.4 
PTF10achk R -407.57100 55127.42900 24.715   11.880 20.925      8.2    89.7 
PTF10achk R -407.52600 55127.47400 23.025    3.015 20.724     38.9   108.0 
PTF10achk R -397.77300 55137.22700 20.778    0.662 20.122    308.2   188.0 
PTF10achk R -397.72800 55137.27200 82.267   -1.071 20.555   -127.9   126.1 
PTF10achk R -392.71400 55142.28600 82.643   -0.409 21.224   -180.8    68.1 
PTF10achk R -392.67000 55142.33000 81.447   -1.438 21.055    -60.1    79.6 
PTF10achk R -390.69300 55144.30700 82.950   -0.315 21.202   -239.9    69.5 
PTF10achk R -390.65000 55144.35000 81.584   -0.955 21.362    -68.2    60.0 
PTF10achk R -383.64800 55151.35200 83.465   -0.232 21.016   -385.5    82.5 
PTF10achk R -383.60400 55151.39600 81.267   -1.912 20.926    -50.9    89.6 
PTF10achk R -368.77400 55166.22600 81.294   -2.420 20.643    -52.2   116.3 
PTF10achk R -366.83700 55168.16300 22.180    1.655 20.530     84.7   129.1 
PTF10achk R -366.79400 55168.20600 81.217   -2.416 20.723    -48.6   108.1 
PTF10achk R -358.88500 55176.11500 83.050   -0.538 20.520   -263.1   130.3 
PTF10achk R -358.84000 55176.16000 82.151   -0.890 20.872   -114.9    94.2 
PTF10achk R -351.89300 55183.10700 82.718   -0.448 21.051   -193.7    79.9 
PTF10achk R -351.84700 55183.15300 82.193   -0.526 21.402   -119.4    57.8 
PTF10achk R -345.90300 55189.09700 83.132   -0.319 21.004   -283.6    83.4 
PTF10achk R -345.85900 55189.14100 80.663   -2.466 21.253    -29.2    66.3 
PTF10achk R -340.88800 55194.11200 23.438    3.315 21.033     26.6    81.2 
PTF10achk R -327.84100 55207.15900 83.552   -0.158 21.346   -417.5    60.9 
PTF10achk R -327.77000 55207.23000 81.219   -1.231 21.452    -48.7    55.2 
PTF10achk R -325.87000 55209.13000 82.810   -0.304 21.380   -210.9    59.0 
PTF10achk R -325.81900 55209.18100 82.519   -0.481 21.173   -161.3    71.4 
PTF10achk R  -73.68400 55461.31600 20.618    0.510 20.247    357.1   167.6 
PTF10achk R  -73.64000 55461.36000 21.734    1.423 20.247    127.8   167.5 
PTF10achk R  -70.66400 55464.33600 82.684   -1.026 20.185   -187.8   177.4 
PTF10achk R  -70.61200 55464.38800 79.584  -11.373 20.674    -10.8   113.1 
PTF10achk R  -68.49100 55466.50900 21.002    0.573 20.503    250.7   132.3 
PTF10achk R  -66.71300 55468.28700 80.783   -4.207 20.554    -32.6   126.3 
PTF10achk R  -61.65500 55473.34500 78.831  -10.759 21.486     -5.4    53.5 
PTF10achk R  -61.61100 55473.38900 24.017    3.362 21.597     15.6    48.3 
PTF10achk R  -55.68600 55479.31400 81.559   -1.327 21.031    -66.6    81.4 
PTF10achk R  -55.64200 55479.35800 22.180    0.892 21.201     84.7    69.6 
PTF10achk R  -20.81900 55514.18100 81.999   -0.944 20.961    -99.9    86.8 
PTF10achk R  -20.77000 55514.23000 81.572   -1.316 21.027    -67.4    81.7 
PTF10achk R  -19.81800 55515.18200 21.037    0.386 20.968    242.7    86.2 
PTF10achk R  -19.77400 55515.22600 82.109   -0.717 21.149   -110.6    73.0 
PTF10achk R  -18.82200 55516.17800 23.710    5.362 20.784     20.7   102.2 
PTF10achk R  -18.77800 55516.22200 23.596    3.650 21.087     23.0    77.3 
PTF10achk R  -17.82600 55517.17400 23.705    4.871 20.882     20.8    93.3 
PTF10achk R  -17.78300 55517.21700 23.214    2.952 20.935     32.7    88.9 
PTF10achk R  -16.78500 55518.21500 81.367   -1.682 20.966    -55.8    86.4 
PTF10achk R  -16.74100 55518.25900 79.911   -6.947 20.881    -14.6    93.4 
PTF10achk R  -15.77000 55519.23000 19.922    0.348 19.965    677.8   217.3 
PTF10achk R  -15.72700 55519.27300 21.667    0.953 20.617    135.9   119.2 
PTF10achk R   -8.82900 55526.17100 21.853    1.553 20.272    114.5   163.7 
PTF10achk R   -8.78600 55526.21400 82.518   -1.188 20.192   -161.1   176.3 
PTF10achk R   -7.79000 55527.21000 80.926   -2.408 21.016    -37.2    82.5 
PTF10achk R   -4.88000 55530.12000 20.852    0.794 20.000    287.8   210.4 
PTF10achk R   -4.83600 55530.16400 22.034    1.572 20.440     96.9   140.3 
PTF10achk R   -2.75800 55532.24200 21.230    0.356 21.247    203.3    66.7 
PTF10achk R   -2.71400 55532.28600 20.958    0.254 21.342    261.2    61.1 
PTF10achk R    0.18500 55535.18500 19.479    0.078 21.141   1019.4    73.5 
PTF10achk R    2.26400 55537.26400 18.677    0.029 21.408   2134.7    57.5 
PTF10achk R    2.30900 55537.30900 18.684    0.037 21.162   2119.7    72.1 
PTF10achk R    3.26600 55538.26600 18.416    0.031 21.076   2715.1    78.1 
PTF10achk R    3.31200 55538.31200 18.433    0.031 21.101   2672.9    76.3 
PTF10achk R    5.12600 55540.12600 18.126    0.023 21.109   3544.7    75.7 
PTF10achk R    5.17400 55540.17400 18.155    0.023 21.149   3452.3    73.0 
PTF10achk R    8.09500 55543.09500 17.861    0.023 20.837   4526.4    97.3 
PTF10achk R    8.13900 55543.13900 17.861    0.022 20.918   4523.8    90.3 
PTF10achk R   10.10000 55545.10000 17.747    0.036 20.253   5025.9   166.6 
PTF10achk R   10.14500 55545.14500 17.776    0.022 20.829   4893.9    98.0 
PTF10achk R   23.23300 55558.23300 17.799    0.018 21.055   4790.6    79.6 
PTF10achk R   24.21600 55559.21600 17.784    0.017 21.088   4856.6    77.2 
PTF10achk R   40.15200 55575.15200 18.011    0.037 20.481   3940.9   135.0 
PTF10achk R   41.17500 55576.17500 18.199    0.183 18.942   3314.3   557.1 
PTF10achk R   41.21800 55576.21800 17.962    0.138 19.009   4123.9   524.1 
PTF10achk R   42.17600 55577.17600 18.152    0.054 20.220   3460.8   171.7 
PTF10achk R   42.22000 55577.22000 18.142    0.099 19.549   3492.2   318.5 
PTF10achk R   43.18500 55578.18500 17.885    0.077 19.563   4425.9   314.4 
PTF10achk R   43.25500 55578.25500 18.260    0.093 19.737   3134.2   268.0 
PTF10achk R   45.11900 55580.11900 18.193    0.036 20.714   3333.0   109.0 
PTF10achk R   45.16300 55580.16300 18.250    0.034 20.805   3163.4   100.2 
PTF10achk R   47.11400 55582.11400 18.227    0.036 20.722   3230.6   108.2 
PTF10achk R   47.15800 55582.15800 18.272    0.052 20.386   3099.9   147.4 
PTF10achk R   48.11000 55583.11000 18.366    0.031 21.017   2841.7    82.4 
PTF10achk R   48.15300 55583.15300 18.344    0.033 20.953   2901.1    87.4 
PTF10achk R   49.11400 55584.11400 18.389    0.032 21.015   2782.4    82.6 
PTF10achk R   49.15800 55584.15800 18.384    0.024 21.344   2796.1    61.0 
PTF10achk R   50.12100 55585.12100 18.532    0.146 19.520   2440.0   327.3 
PTF10achk R   50.16400 55585.16400 18.483    0.037 20.963   2552.7    86.6 
PTF10achk R   51.12200 55586.12200 18.418    0.031 21.091   2709.6    77.0 
PTF10achk R   51.16500 55586.16500 18.519    0.031 21.170   2469.4    71.6 
PTF10achk R   52.12100 55587.12100 18.476    0.037 20.958   2567.4    87.0 
PTF10achk R   52.16400 55587.16400 18.557    0.037 21.035   2384.5    81.1 
PTF10achk R   53.14300 55588.14300 18.518    0.049 20.690   2471.0   111.4 
PTF10achk R   55.12000 55590.12000 18.612    0.030 21.333   2265.0    61.6 
PTF10achk R   55.16400 55590.16400 18.698    0.041 21.065   2093.1    78.9 
PTF10achk R   69.11700 55604.11700 19.050    0.074 20.770   1513.4   103.5 
PTF10achk R   69.16000 55604.16000 19.320    0.093 20.792   1179.9   101.4 
PTF10achk R   72.13000 55607.13000 19.263    0.137 20.322   1244.3   156.4 
PTF10achk R  233.48300 55768.48300 81.726   -1.166 21.004    -77.7    83.4 
PTF10achk R  234.46500 55769.46500 24.406    9.057 20.911     10.9    90.9 
PTF10achk R  235.49100 55770.49100 81.524   -1.229 21.149    -64.5    73.0 
PTF10achk R  236.46200 55771.46200 80.725   -2.042 21.397    -30.9    58.1 
PTF10achk R  256.50500 55791.50500 21.600    0.772 20.778    144.5   102.7 
PTF10achk R  257.41900 55792.41900 82.512   -0.936 20.457   -160.3   138.1 
PTF10achk R  257.46800 55792.46800 80.921   -2.956 20.800    -37.0   100.7 
PTF10achk R  259.46700 55794.46700 20.928    0.885 19.958    268.3   218.6 
PTF10achk R  259.51200 55794.51200 21.139    2.077 19.242    221.1   422.8 
PTF10achk R  276.47200 55811.47200 80.652   -1.834 21.586    -28.9    48.8 
PTF10achk R  276.51600 55811.51600 82.509   -0.368 21.474   -159.8    54.1 
PTF10achk R  277.44900 55812.44900 82.645   -0.369 21.333   -181.2    61.6 
PTF10achk R  277.48600 55812.48600 81.495   -0.846 21.584    -62.8    48.9 
PTF10achk R  283.40100 55818.40100 23.586   10.757 19.904     23.2   229.8 
PTF10achk R  283.44500 55818.44500 80.566   -6.549 20.290    -26.7   161.0 
PTF10achk R  284.34700 55819.34700 83.589   -0.625 19.818   -432.0   248.8 
PTF10achk R  284.39000 55819.39000 82.034   -2.633 19.811   -103.2   250.2 
PTF10achk R  287.34700 55822.34700 23.862    7.855 20.521     18.0   130.2 
PTF10achk R  287.39200 55822.39200 26.635  107.204 20.456      1.4   138.2 
PTF10achk R  288.33700 55823.33700 83.215   -0.351 20.818   -306.3    99.0 
PTF10achk R  288.38100 55823.38100 81.811   -1.027 21.058    -84.0    79.4 
PTF10achk R  289.38000 55824.38000 80.656   -2.636 21.188    -29.0    70.4 
PTF10achk R  289.42300 55824.42300 81.913   -0.747 21.300    -92.3    63.5 
PTF10achk R  307.42300 55842.42300 22.628    2.038 20.751     56.1   105.3 
PTF10achk R  307.46500 55842.46500 82.932   -0.489 20.742   -236.0   106.2 
PTF10achk R  308.38300 55843.38300 81.565   -1.608 20.816    -67.0    99.2 
PTF10achk R  308.40600 55843.40600 22.714    2.608 20.570     51.8   124.4 
PTF10achk R  309.30800 55844.30800 81.399   -2.527 20.491    -57.5   133.8 
PTF10achk R  309.35200 55844.35200 22.813    1.857 21.037     47.3    80.9 
PTF10achk R  314.37200 55849.37200 21.798    0.822 20.908    120.4    91.1 
PTF10achk R  314.41300 55849.41300 22.614    2.860 20.370     56.8   149.6 
PTF10achk R  315.32300 55850.32300 21.733    0.868 20.784    127.9   102.2 
PTF10achk R  315.32800 55850.32800 21.571    0.629 20.972    148.4    85.9 
PTF10achk R  316.25700 55851.25700 80.385   -5.444 20.672    -22.6   113.3 
PTF10achk R  316.30100 55851.30100 81.327   -1.651 21.025    -53.8    81.8 
PTF10achk R  317.44000 55852.44000 80.800   -2.848 20.961    -33.1    86.8 
PTF10achk R  317.48600 55852.48600 25.704   32.185 20.831      3.3    97.8 
PTF10achk R  318.40600 55853.40600 82.848   -0.353 21.181   -218.3    70.9 
PTF10achk R  333.35800 55868.35800 80.700   -2.341 21.273    -30.2    65.1 
PTF10achk R  333.35900 55868.35900 82.044   -0.780 21.122   -104.1    74.8 
PTF10achk g   32.17700 55567.17700 18.006    0.019 21.219  10259.6   177.3 
PTF10achk g   37.18600 55572.18600 18.132    0.037 20.597   9140.7   314.5 
PTF10achk g  242.44300 55777.44300 22.881    1.528 21.318    115.1   161.9 
PTF10achk g  243.45700 55778.45700 83.817   -1.100 21.045   -205.6   208.2 
PTF10achk g  243.50400 55778.50400 20.384    0.534 19.961   1148.6   564.9 
PTF10achk g  260.48900 55795.48900 83.661   -0.735 21.638   -178.1   120.6 
PTF10achk g  262.38800 55797.38800 83.110   -3.766 20.415   -107.3   372.1 
PTF10achk g  262.43300 55797.43300 83.145   -1.826 21.166   -110.8   186.3 
PTF10achk g  263.43500 55798.43500 22.353    0.969 21.284    187.3   167.1 
PTF10achk g  263.47800 55798.47800 83.768   -0.786 21.458   -196.6   142.3 
PTF10achk g  265.40800 55800.40800 23.358    2.635 21.203     74.2   180.0 
PTF10achk g  266.48600 55801.48600 22.458    0.865 21.512    170.0   135.4 
PTF10achk g  267.50100 55802.50100 22.202    0.644 21.576    215.2   127.7 
PTF10achk g  268.44700 55803.44700 29.341  500.646 21.489      0.3   138.3 
PTF10achk g  268.49600 55803.49600 23.068    1.340 21.647     96.9   119.6 
PTF10achk g  269.46000 55804.46000 21.997    0.598 21.452    260.0   143.1 
PTF10achk g  269.51600 55804.51600 83.926   -1.207 20.835   -227.4   252.7 
PTF10achk g  270.46900 55805.46900 82.813   -1.702 21.574    -81.6   127.9 
PTF10achk g  271.48300 55806.48300 80.667  -15.665 21.311    -11.3   163.0 
PTF10achk g  272.41700 55807.41700 21.469    0.390 21.387    422.8   152.0 
PTF10achk g  272.46000 55807.46000 22.278    0.776 21.449    200.7   143.5 
PTF10achk g  273.45500 55808.45500 78.840  -71.107 21.495     -2.1   137.5 
PTF10achk g  273.49900 55808.49900 82.355   -2.407 21.656    -53.5   118.6 
PTF10achk g  290.31900 55825.31900 84.588   -0.664 20.821   -418.6   255.9 
PTF10achk g  290.36200 55825.36200 22.129    0.877 21.167    230.2   186.0 
PTF10achk g  291.38500 55826.38500 82.284   -3.440 21.340    -50.1   158.7 
PTF10achk g  291.43300 55826.43300 79.539  -44.716 21.299     -4.0   164.7 
PTF10achk g  292.43100 55827.43100 84.155   -0.679 21.231   -280.7   175.5 
PTF10achk g  293.30600 55828.30600 84.084   -0.915 20.977   -263.0   221.6 
PTF10achk g  293.35000 55828.35000 23.882    3.543 21.405     45.8   149.4 
PTF10achk g  294.38000 55829.38000 22.504    1.687 20.833    163.0   253.2 
PTF10achk g  295.33600 55830.33600 23.153    2.532 21.041     89.6   208.9 
PTF10achk g  295.42500 55830.42500 83.548   -0.838 21.609   -160.6   123.9 
PTF10achk g  296.39700 55831.39700 82.604   -2.738 21.267    -67.3   169.7 
PTF10achk g  296.44100 55831.44100 83.214   -1.378 21.403   -118.0   149.7 
PTF10achk g  297.40000 55832.40000 84.312   -0.542 21.318   -324.5   161.9 
PTF10achk g  297.44400 55832.44400 81.091  -11.380 21.234    -16.7   175.0 
PTF10achk g  298.39400 55833.39400 83.248   -1.075 21.638   -121.8   120.6 
PTF10achk g  298.43800 55833.43800 21.689    0.376 21.649    345.2   119.4 
PTF10achk g  299.39900 55834.39900 82.934   -1.273 21.769    -91.2   106.9 
PTF10achk g  299.44300 55834.44300 84.030   -0.499 21.689   -250.2   115.0 
PTF10achk g  300.48200 55835.48200 22.466    0.852 21.536    168.7   132.4 
PTF10achk g  301.28400 55836.28400 84.357   -0.836 20.803   -338.2   260.3 
PTF10achk g  301.32800 55836.32800 84.460   -0.631 21.005   -371.8   216.0 
PTF10achk g  302.30600 55837.30600 22.789    1.436 21.293    125.3   165.7 
PTF10achk g  320.23900 55855.23900 84.081   -0.601 21.436   -262.4   145.2 
PTF10achk g  320.29200 55855.29200 83.968   -0.580 21.588   -236.4   126.3 
PTF10achk g  321.24400 55856.24400 82.959   -2.479 21.020    -93.3   213.0 
PTF10achk g  321.28700 55856.28700 22.367    0.951 21.317    184.9   162.0 
PTF10achk g  322.24900 55857.24900 83.923   -0.824 21.252   -226.8   172.0 
PTF10achk g  322.29900 55857.29900 84.327   -0.440 21.528   -329.1   133.4 
PTF10achk g  323.28200 55858.28200 83.904   -1.832 20.404   -222.8   375.9 
PTF10achk g  323.32600 55858.32600 84.327   -0.409 21.609   -329.0   123.9 
PTF10achk g  324.29500 55859.29500 80.960  -11.829 21.323    -14.8   161.2 
PTF10achk g  324.33800 55859.33800 22.952    1.533 21.385    107.8   152.2 
PTF10achk g  326.22300 55861.22300 79.885  -82.891 20.284     -5.5   419.8 
PTF10achk g  327.25000 55862.25000 84.428   -0.911 20.638   -361.1   302.9 
PTF10achk g  327.29600 55862.29600 84.402   -0.560 21.193   -352.4   181.7 
PTF10achk g  329.29400 55864.29400 83.931   -0.690 21.437   -228.5   145.1 
PTF10achk g  329.33700 55864.33700 25.804   24.741 21.217      7.8   177.7 
PTF10achk g  330.32800 55865.32800 22.835    1.534 21.268    120.1   169.6 
PTF10achk g  330.37100 55865.37100 26.841   48.074 21.533      3.0   132.8 
PTF10bjb  R -157.46700 55168.53300 20.553    0.562 20.076    431.2   223.0 
PTF10bjb  R -156.46800 55169.53200 24.791   24.853 20.200      8.7   199.1 
PTF10bjb  R -145.49300 55180.50700 79.596  -12.749 20.817     -9.6   112.7 
PTF10bjb  R -145.44900 55180.55100 22.654    2.444 20.580     62.3   140.2 
PTF10bjb  R -142.47700 55183.52300 20.714    0.221 21.251    371.8    75.6 
PTF10bjb  R -142.43300 55183.56700 21.001    0.299 21.209    285.4    78.6 
PTF10bjb  R -128.50200 55197.49800 20.411    0.361 20.413    491.5   163.5 
PTF10bjb  R -128.45700 55197.54300 20.591    0.389 20.513    416.6   149.2 
PTF10bjb  R -126.44700 55199.55300 20.389    0.270 20.708    501.6   124.6 
PTF10bjb  R -125.55800 55200.44200 83.975   -1.247 18.963   -541.8   622.0 
PTF10bjb  R -119.50700 55206.49300 20.769    0.231 21.255    353.6    75.3 
PTF10bjb  R -119.46300 55206.53700 20.870    0.198 21.524    322.2    58.8 
PTF10bjb  R -117.49300 55208.50700 20.573    0.169 21.403    423.3    65.7 
PTF10bjb  R -117.44800 55208.55200 20.932    0.239 21.380    304.3    67.1 
PTF10bjb  R -112.60200 55213.39800 20.452    0.600 19.904    473.5   261.5 
PTF10bjb  R -112.55600 55213.44400 20.429    0.221 20.964    483.3    98.5 
PTF10bjb  R -104.56200 55221.43800 21.431    0.455 21.183    192.1    80.5 
PTF10bjb  R -104.51800 55221.48200 23.277    2.252 21.292     35.1    72.8 
PTF10bjb  R  -98.61600 55227.38400 82.452   -1.468 20.308   -133.3   180.2 
PTF10bjb  R  -98.57200 55227.42800 20.651    0.512 20.275    394.0   185.7 
PTF10bjb  R  -82.58200 55243.41800 21.010    0.259 21.374    283.2    67.5 
PTF10bjb  R  -82.53800 55243.46200 20.415    0.171 21.228    489.6    77.2 
PTF10bjb  R  -79.62600 55246.37400 20.235    0.157 21.139    578.2    83.8 
PTF10bjb  R  -79.57800 55246.42200 20.434    0.109 21.733    481.1    48.5 
PTF10bjb  R  -75.58900 55250.41100 20.608    0.242 21.045    410.2    91.4 
PTF10bjb  R  -75.54500 55250.45500 20.831    0.265 21.169    334.0    81.5 
PTF10bjb  R  -57.75700 55268.24300 20.239    0.183 20.978    575.8    97.2 
PTF10bjb  R  -54.73100 55271.26900 20.871    0.422 20.704    321.9   125.1 
PTF10bjb  R  -54.68800 55271.31200 20.904    0.342 20.966    312.3    98.3 
PTF10bjb  R  -51.60600 55274.39400 21.275    0.508 20.908    221.9   103.7 
PTF10bjb  R  -51.53800 55274.46200 20.214    0.230 20.705    589.2   125.0 
PTF10bjb  R  -48.62400 55277.37600 20.048    0.284 20.312    686.6   179.5 
PTF10bjb  R  -45.65300 55280.34700 20.431    0.228 20.934    482.8   101.2 
PTF10bjb  R  -45.60500 55280.39500 20.081    0.260 20.442    666.2   159.3 
PTF10bjb  R  -42.75900 55283.24100 82.943   -2.267 19.345   -209.5   437.3 
